Loading depthlist /home/mdw/src/tinyos/volcano2007/data/generated/depthlist.dat...
Depthlist opened, 9846 entries
DOWNLOAD: node 100 dltime 114.529287
DOWNLOAD: node 103 dltime 125.885855
DOWNLOAD: node 103 dltime 147.574754
DOWNLOAD: node 103 dltime 130.397357
DOWNLOAD: node 102 dltime 166.256365
DOWNLOAD: node 102 dltime 148.523089
DOWNLOAD: node 102 dltime 119.361423
DOWNLOAD: node 102 dltime 126.803035
DOWNLOAD: node 102 dltime 125.565156
DOWNLOAD: node 100 dltime 99.920279
DOWNLOAD: node 101 dltime 133.703908
DOWNLOAD: node 101 dltime 130.167761
DOWNLOAD: node 103 dltime 122.732429
DOWNLOAD: node 102 dltime 127.324015
DOWNLOAD: node 102 dltime 142.649519
DOWNLOAD: node 102 dltime 130.895666
DOWNLOAD: node 105 dltime 116.284707
DOWNLOAD: node 102 dltime 128.237714
DOWNLOAD: node 105 dltime 119.571844
DOWNLOAD: node 100 dltime 97.682590
DOWNLOAD: node 105 dltime 135.266558
DOWNLOAD: node 105 dltime 132.541394
DOWNLOAD: node 105 dltime 128.143415
DOWNLOAD: node 105 dltime 127.910358
DOWNLOAD: node 105 dltime 123.539968
DOWNLOAD: node 103 dltime 130.081433
DOWNLOAD: node 103 dltime 128.508921
DOWNLOAD: node 100 dltime 98.713638
DOWNLOAD: node 100 dltime 95.798806
DOWNLOAD: node 102 dltime 134.541234
DOWNLOAD: node 104 dltime 198.666790
DOWNLOAD: node 102 dltime 124.263361
DOWNLOAD: node 100 dltime 103.984166
DOWNLOAD: node 104 dltime 212.221519
DOWNLOAD: node 103 dltime 128.660778
DOWNLOAD: node 105 dltime 125.999560
DOWNLOAD: node 105 dltime 122.970083
DOWNLOAD: node 105 dltime 118.403991
DOWNLOAD: node 105 dltime 118.174260
DOWNLOAD: node 105 dltime 140.073679
DOWNLOAD: node 102 dltime 168.321000
DOWNLOAD: node 102 dltime 125.027812
DOWNLOAD: node 101 dltime 144.412972
DOWNLOAD: node 101 dltime 149.548025
DOWNLOAD: node 101 dltime 121.954547
DOWNLOAD: node 101 dltime 129.040862
