#time flow_seqno path
 #This first chunk is just fully-observed routes, the chunk after the next commented line
 #contains routes with inferred packets, and then the chunk
 #after the last commented line are the scores (for the bottom half of the figure).
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 51032 8938.344 3
 51033 8938.344 3
 51034 8939.375 3
 51035 8939.375 3
 51036 8940.307 3
 51037 8940.307 3
 51043 8943.221 3
 51044 8944.202 3
 51045 8945.224 3
 51047 8947.126 3
 51050 8950.081 3
 51051 8951.082 3
 51052 8951.994 3
 51053 8952.889 3
 51054 8953.856 3
 51055 8954.948 3
 51056 8955.840 3
 51057 8955.939 3
 51058 8956.841 2
 51062 -3.000 12
 51063 -3.000 12
 51064 8959.895 12
 51066 8960.830 12
 51067 8960.866 12
 51070 8962.879 12
 51071 8962.879 12
 51077 8965.833 12
 51081 8967.736 12
 51087 8970.660 12
 51090 8972.613 12
 51091 8972.613 12
 51097 8975.577 12
 51118 8986.313 12
 51125 8989.247 12
 51131 8992.201 12
 51133 8993.193 1
 51134 8994.134 1
 51136 8995.115 1
 51137 8995.125 1
 51142 8998.100 1
 51143 8998.100 1
 51146 9000.053 1
 51147 9000.043 1
 51148 9001.044 1
 51149 9001.044 1
 51152 9002.987 1
 51153 9002.987 1
 51154 9003.958 1
 51155 9003.958 1
 51159 9005.896 1
 51160 9006.882 1
 51161 9006.872 1
 51162 9007.864 1
 51163 9007.874 1
 51164 9008.835 1
 51165 9008.835 1
 51168 9010.788 1
 51169 9010.778 1
 51189 9020.572 13
 51197 9024.508 13
 51203 9027.373 13
 51224 9042.968 13
 51228 9046.977 13
 51232 9050.802 13
 51240 9054.741 13
 51246 9057.685 13
 51254 9061.545 13
 51258 9063.502 13
 51266 9067.399 13
 51268 9068.380 13
 51272 9070.534 13
 51277 9073.322 13
 51281 9075.236 13
 51287 9078.169 13
 51288 9078.155 13
 51290 9079.136 13
 51295 9082.029 13
 51296 9082.045 13
 51297 9083.056 13
 51298 9083.039 13
 51299 9083.996 13
 51300 9084.013 13
 51302 9085.003 13
 51305 9086.972 13
 51306 9086.957 13
 51307 9087.907 13
 51308 9087.935 13
 51309 9089.111 13
 51313 9090.897 13
 51314 9090.963 13
 51316 9091.849 13
 51322 9094.879 13
 51324 9095.745 13
 51325 9096.703 13
 51326 9096.729 13
 51328 9097.711 13
 51329 9098.699 13
 51332 9099.723 13
 51333 9100.617 13
 51334 9100.646 13
