#time flow_seqno path
 #This first chunk is just observed packets, the chunk after the next commented line
 #contains just inferred packets, and then the chunk
 #after the last commented line are the scores.
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 51295 9082.029 14
 51296 9082.045 14
 51298 9083.039 14
 51297 9083.056 14
 51299 9083.996 14
 51300 9084.013 14
 51302 9085.003 14
 51306 9086.957 14
 51305 9086.972 14
 51307 9087.907 14
 51308 9087.935 14
 51309 9089.111 14
 51313 9090.897 14
 51314 9090.963 14
 51316 9091.849 14
 51322 9094.879 14
 51324 9095.745 14
 51325 9096.703 14
 51326 9096.729 14
 51328 9097.711 14
 51329 9098.699 14
 51332 9099.723 14
 51333 9100.617 14
 51334 9100.646 14
 51335 9101.742 14
 51337 9102.612 14
 51342 9104.735 14
 51341 9104.767 14
 51343 9105.555 14
 51347 9107.472 14
 51351 9109.454 14
 51352 9109.461 14
 51354 9110.441 14
 51353 9110.446 14
 51356 9111.407 14
 51355 9111.427 14
 51357 9112.433 14
 51358 9112.444 14
 51360 9113.426 14
 51361 9114.378 14
 51365 9116.353 14
 51366 9116.464 14
 51368 9117.351 14
 51367 9117.365 14
 51369 9118.282 14
 51383 9125.247 14
 51385 9126.103 14
 51389 9128.111 14
 51391 9129.027 14
 51392 9129.030 14
 51393 9130.013 14
 51417 9141.796 13
 51418 9141.796 13
 51422 9143.821 13
 51427 9146.663 13
 51445 9155.465 13
 51446 9155.486 13
 51447 9156.432 13
 51454 9159.330 13
 51460 9162.336 13
 51462 9163.274 13
 51467 9166.191 13
 51468 9166.192 13
 51473 9169.124 5
 51475 9170.041 5
 51476 9170.044 5
 51479 9171.968 5
 51481 9173.066 14
 51486 9174.997 14
 51487 9175.996 14
 51488 9175.996 14
 51495 9179.892 14
 51498 9180.883 14
 51499 9181.874 14
 51503 9183.837 14
 51504 9183.847 14
 51513 9188.668 14
 51520 9191.631 14
 51519 9191.602 14
 51523 9193.581 14
 51525 9194.582 14
 51526 9194.582 14
 51527 9195.784 14
 51535 9199.484 14
 51537 9200.465 14
 51540 9201.433 14
 51539 9201.476 14
 51544 9203.398 14
 51543 9203.419 14
 51551 9207.295 14
 51553 9208.291 14
 51554 9208.294 14
 51561 9214.137 14
 51564 9217.099 14
 51566 9218.086 14
 51567 9218.126 14
 51569 9219.068 14
 51568 9219.068 14
 51570 9220.249 14
 51576 9222.931 14
 51577 9222.953 14
 51584 9226.833 14
