#time flow_seqno path
#This first chunk is just fully-observed routes, the chunk after the next commented line
#contains routes with inferred packets, and then the chunk
#after the last commented line are the scores (for the bottom half of the figure).
#These are grouped this way for greater ease in formatting
#the various data-groups.
58400 774.000 9
58401 774.969 9
58402 775.000 9
58404 775.969 9
58405 776.938 9
58406 777.188 9
58407 777.906 9
58409 778.875 9
58410 778.906 9
58411 779.875 9
58412 781.031 9
58413 781.062 9
58414 781.438 9
58415 782.062 9
58416 782.312 9
58417 782.781 9
58418 783.781 9
58419 783.812 9
58421 784.750 9
58422 784.781 9
58423 785.750 9
58424 785.750 9
58426 787.000 9
58427 787.688 9
58429 788.688 9
58430 788.750 9
58431 789.656 9
58432 789.781 9
58433 791.156 9
58435 791.625 9
58436 791.750 9
58437 792.594 9
58438 792.625 9
58439 793.562 9
58443 795.531 9
58444 795.562 9
58445 797.031 9
58446 797.312 9
58447 797.500 9
58448 797.594 9
58449 798.469 9
58450 798.500 9
58451 799.469 9
58453 800.438 9
58454 800.719 9
58455 801.406 9
58456 801.656 9
58457 802.656 9
58458 802.938 9
58459 803.375 9
58460 803.625 9
58461 804.375 9
58462 804.625 9
58463 805.344 9
58464 805.375 9
58465 806.312 9
58466 806.344 9
58467 807.312 9
58468 807.344 9
58469 808.281 9
58470 808.531 9
58471 809.250 9
58472 809.281 9
58474 810.250 9
58475 811.219 9
58476 811.500 9
58477 812.188 9
58478 812.219 9
58479 813.156 9
58480 814.156 9
58481 814.469 9
58482 814.656 9
58483 815.125 9
58485 816.125 9
58486 816.406 9
58487 817.094 9
58488 817.875 9
58489 818.062 9
58490 818.656 9
58491 819.312 9
58492 819.594 9
58493 820.031 9
58494 820.062 9
58495 821.000 9
58496 821.031 9
58497 822.000 9
58498 822.031 9
58499 822.969 9
58501 823.938 9
58502 823.969 9
58503 824.938 9
58504 825.750 9
58505 825.906 9
58506 826.188 9
58509 827.875 9
58510 828.031 9
58511 828.844 9
58512 828.906 9
58513 829.844 9
58514 829.875 9
58515 830.812 9
58516 831.125 9
58517 831.781 9
58518 832.062 9
58519 832.750 9
58521 833.750 9
58522 833.781 9
58523 834.719 9
58524 834.750 9
58525 835.719 9
58526 835.719 9
58527 836.969 9
58528 837.219 9
58529 837.656 9
58530 837.688 9
58531 838.656 9
58532 838.938 9
58533 839.625 9
58534 839.656 9
58535 840.594 9
58536 840.906 9
58537 841.594 9
58538 842.125 9
58539 842.562 9
58540 842.594 9
58541 843.531 9
58542 843.562 9
58543 844.531 9
58544 844.812 9
58545 845.500 9
58547 846.500 9
58548 846.500 9
58550 847.750 9
58551 848.469 9
58553 849.438 9
58554 849.469 9
58555 850.406 9
58556 850.438 9
58557 851.375 9
58558 851.406 9
58559 852.375 9
58560 852.656 9
58561 853.344 9
58562 853.656 9
58563 854.312 9
58564 854.875 9
58565 855.312 9
58566 855.656 9
58567 856.281 9
58568 856.312 9
58569 857.250 9
58570 857.531 9
58571 858.250 9
58572 858.250 9
58574 859.250 9
58575 860.188 9
58576 860.500 9
58577 861.188 9
58578 861.719 9
58579 862.156 9
58581 863.125 9
58582 863.656 9
58583 864.125 9
58586 865.125 9
58587 866.344 9
58588 866.375 9
58589 867.062 9
58591 868.031 9
58592 868.531 9
58593 869.000 9
58594 869.062 9
58595 870.000 9
58596 870.281 9
58597 870.969 9
58598 871.000 9
58599 871.969 9
58600 872.000 9
58601 872.938 9
58603 873.938 9
58604 874.406 9
58605 874.906 9
58606 875.188 9
58607 875.875 9
58609 876.875 9
58611 877.844 9
58612 877.875 9
58613 878.812 9
58615 879.812 9
58616 880.844 9
58617 880.781 9
58618 881.031 9
58619 881.750 9
58620 881.812 9
58621 882.750 9
58624 884.000 9
58625 884.688 9
58626 884.719 9
58627 885.688 9
58628 885.969 9
58629 886.656 9
58630 886.719 9
58631 887.625 9
58632 887.656 9
58633 888.625 9
58634 888.906 9
58635 889.594 9
58636 889.625 9
58637 890.594 9
58638 890.688 9
58639 891.562 9
58641 892.531 9
58642 892.562 9
58643 893.500 9
58644 894.062 9
58645 894.500 9
58646 894.531 9
58647 895.469 9
58649 896.469 9
58650 896.500 9
58652 897.719 9
58653 898.438 9
58654 898.438 9
58655 899.406 9
58656 899.406 9
58657 900.375 9
58658 900.406 9
58659 901.344 9
58660 901.375 9
58661 902.344 9
58662 902.625 9
58663 903.312 9
58664 903.844 9
58665 904.281 9
58667 905.281 9
58668 905.281 9
58669 906.250 2
58670 906.281 2
58671 907.219 2
58672 907.531 2
58673 908.219 2
58674 909.188 2
58675 909.219 2
58676 909.719 2
58677 910.156 2
58678 910.938 2
58679 911.156 2
58680 911.219 2
58681 912.125 2
58682 912.156 2
58683 913.375 2
58684 914.094 2
58685 914.844 2
58686 914.875 2
58687 915.094 2
58688 915.094 2
58689 916.062 2
58690 916.062 2
58691 917.031 2
58692 917.312 2
58693 918.000 2
58696 919.031 2
58697 919.969 2
58699 920.938 2
58700 920.969 2
58701 921.938 2
58702 921.969 2
58703 922.906 2
58704 923.125 2
58705 923.875 2
58706 924.438 2
58707 924.875 2
58708 924.906 2
58709 926.094 2
58710 926.406 2
58711 926.812 2
58712 927.344 2
58713 927.812 2
58714 928.094 2
58715 928.781 2
58716 928.812 2
58717 929.750 2
58718 929.781 2
58720 930.781 2
58721 931.719 2
58722 932.000 2
58723 932.688 2
58725 933.688 2
58726 933.719 2
